MLP	Linear	Random	LSTM
0.098	0.112	0.107	0.43
0.083	0.079	0.113	0.598
0.103	0.098	0.079	0.103
0.132	0.098	0.098	0.087
0.121	0.099	0.112	0.133
0.104	0.112	0.079	0.06
0.129	0.098	0.098	0.129
0.124	0.107	0.119	0.501
0.337	0.078	0.107	0.6
0.169	0.105	0.107	0.258
0.134	0.115	0.098	0.11
0.115	0.098	0.112	0.11
0.12	0.079	0.102	0.102
0.43	0.078	0.107	0.119
0.105	0.112	0.102	0.44
0.082	0.119	0.102	0.083
0.078	0.107	0.102	0.099
0.104	0.112	0.098	0.434
0.11	0.112	0.112	0.281
0.086	0.078	0.107	0.23
0.115	0.113	0.119	0.111
0.114	0.087	0.087	0.095
0.107	0.105	0.119	0.127
0.131	0.092	0.113	0.081
0.08	0.117	0.112	0.087
0.103	0.098	0.102	0.347
0.087	0.143	0.087	0.079
0.118	0.107	0.102	0.097
0.09	0.078	0.106	0.395
0.091	0.105	0.107	0.101
0.101	0.107	0.113	0.229
0.169	0.098	0.079	0.107
0.117	0.09	0.102	0.116
0.291	0.078	0.087	0.103
0.108	0.105	0.087	0.154
0.106	0.098	0.107	0.086
0.174	0.112	0.098	0.08
0.313	0.113	0.079	0.099
0.177	0.078	0.102	0.23
0.327	0.105	0.102	0.477
0.106	0.095	0.087	0.431
0.24	0.112	0.079	0.113
0.175	0.102	0.087	0.093
0.149	0.113	0.102	0.101
0.324	0.105	0.107	0.568
0.178	0.112	0.098	0.102
0.203	0.105	0.102	0.124
0.361	0.18	0.107	0.173
0.3	0.113	0.102	0.105
0.162	0.098	0.107	0.195
0.156	0.113	0.102	0.117
0.123	0.113	0.107	0.119
0.34	0.078	0.112	0.128
0.114	0.079	0.119	0.286
0.151	0.104	0.078	0.077
0.108	0.098	0.098	0.3
0.134	0.087	0.112	0.133
0.155	0.119	0.079	0.113
0.182	0.079	0.102	0.104
0.089	0.087	0.079	0.395
0.09	0.098	0.079	0.094
0.131	0.113	0.112	0.472
0.29	0.087	0.087	0.178
0.151	0.087	0.107	0.081
0.158	0.107	0.112	0.107
0.205	0.119	0.105	0.51
0.128	0.112	0.105	0.079
0.108	0.087	0.113	0.078
0.107	0.107	0.098	0.118
0.138	0.078	0.087	0.104
0.119	0.119	0.107	0.045
0.177	0.098	0.078	0.108
0.118	0.078	0.102	0.102
0.128	0.105	0.107	0.078
0.149	0.102	0.105	0.397
0.32	0.079	0.079	0.112
0.138	0.107	0.113	0.093
0.29	0.112	0.105	0.112
0.135	0.088	0.087	0.533
0.145	0.107	0.098	0.24
0.184	0.078	0.079	0.091
0.185	0.087	0.113	0.089
0.091	0.078	0.078	0.121
0.163	0.078	0.107	0.083
0.278	0.079	0.079	0.242
0.138	0.105	0.107	0.141
0.229	0.079	0.112	0.459
0.286	0.117	0.102	0.107
0.123	0.102	0.102	0.124
0.2	0.113	0.087	0.391
0.208	0.104	0.087	0.106
0.154	0.111	0.098	0.094
0.106	0.112	0.113	0.377
0.112	0.119	0.105	0.107
0.246	0.105	0.102	0.112
0.128	0.119	0.113	0.119
0.128	0.079	0.079	0.078
0.238	0.112	0.107	0.084
0.163	0.119	0.105	0.102
0.273	0.098	0.105	0.135
